model_rank,grid_id,latitude,longitude,police_station,junction_name,history,peak_hour_weight_score,junction_proximity_score,repeat_hotspot_density_score,last_month,prev_month,station,trend_raw,trend,peak_junction,model_priority_score
1,"12.981,77.61",12.981083513578422,77.61013528841559,Shivajinagar,BTP051 - Safina Plaza Junction,100.0,49.30854681478123,100.0,55.00774393391843,100.0,77.6197884482279,69.89670850724588,8.92527552912216,61.30841531305451,72.11970074812967,100.0
2,"12.977,77.576",12.977186446651997,77.57613171631563,Upparpet,BTP040 - Elite Junction,90.76649012735284,41.0877082678403,100.0,39.97629083245521,92.76595389671262,68.19700339794278,100.0,12.087350751166213,64.85197112750652,67.59823954731216,91.36632925816076
3,"12.964,77.577",12.964077901563494,77.5768995240612,City Market,BTP082 - KR Market Junction,91.13824865881975,17.356475300400533,100.0,46.411977284460505,89.81103220832466,75.47861234078785,82.0126412123074,2.248402942625191,53.8260282682131,54.546061415220294,90.74008372367122
4,"12.973,77.579",12.973088122738801,77.579035767836,Upparpet,BTP044 - Sagar Theatre Junction,88.19013168231965,42.05409974640744,100.0,38.34240980258679,80.35905206098904,63.35904671784605,100.0,6.187746299928953,58.240623772324135,68.12975486052409,85.84080779592045
5,"12.976,77.578",12.97605577986744,77.5781520706711,Upparpet,BTP044 - Sagar Theatre Junction,79.35609563610647,48.301574150787076,100.0,23.03556658395368,89.23533694680556,54.34978900166138,100.0,22.878990449355385,76.94554098738773,71.56586578293289,82.3198680293162
6,"12.977,77.577",12.977003156528578,77.57706455133717,Upparpet,BTP040 - Elite Junction,82.37412266898676,39.64341898269533,100.0,23.36870026525199,81.132758759141,60.87512923502229,100.0,9.34126873966536,61.77459497561168,66.80388044048243,82.00171349603302
7,"12.974,77.545",12.974176691506228,77.54500246659116,Vijayanagara,BTP020 - Hosahalli Metro Station,82.3846474550678,30.973952434881085,100.0,32.381507381507376,65.72341759244588,60.208735187253126,60.68434351365515,-3.328361383769895,47.5764692707357,62.035673839184604,77.38627849628122
8,"12.965,77.576",12.964683566373512,77.57617047206416,City Market,BTP082 - KR Market Junction,83.38945325324406,34.29901707190895,100.0,31.566181566181562,57.769160825775735,62.84036698914293,82.0126412123074,-12.844009793297069,36.912829451293376,63.86445938954992,75.70336552500356
9,"12.976,77.577",12.976102326406686,77.57725434222841,Upparpet,BTP040 - Elite Junction,82.18897261304606,42.005571030640674,100.0,25.91501240694789,59.84123697275054,59.83174505105419,100.0,-8.04210822814958,42.29404432340671,68.10306406685237,75.4846519209574
10,"13.0,77.55",13.000026266409181,77.54983345235279,Malleshwaram,BTP027 - Modi Bridge Junction,78.31480729702722,44.68726450640543,100.0,19.34294871794872,67.32928597611559,57.38527203861843,45.76683183077331,0.8849015849037727,52.29803072707819,69.57799547852298,75.01915090075371
