test_month,train_months,common_hotspots,spearman_score_correlation,precision_at_20,ndcg_at_20,precision_at_50,ndcg_at_50,precision_at_100,ndcg_at_100
2023-12,2023-11,2254,0.7633,0.6,0.9203,0.68,0.9175,0.69,0.911
2024-01,"2023-11,2023-12",2900,0.7929,0.55,0.918,0.78,0.9484,0.74,0.948
2024-02,"2023-11,2023-12,2024-01",2947,0.779,0.5,0.9506,0.72,0.957,0.7,0.9559
2024-03,"2023-11,2023-12,2024-01,2024-02",3166,0.7915,0.7,0.9671,0.68,0.957,0.74,0.9552
2024-04,"2023-11,2023-12,2024-01,2024-02,2024-03",1747,0.735,0.5,0.8951,0.56,0.902,0.61,0.8973
